iter	Passed	Remaining
723	44602	17003
724	44659	16939
725	44741	16885
726	44833	16835
727	44891	16772
728	44955	16711
729	45030	16654
730	45099	16596
731	45155	16532
732	45217	16470
733	45271	16406
734	45328	16343
735	45386	16279
736	45451	16219
737	45508	16156
738	45566	16093
739	45624	16030
740	45684	15968
741	45738	15903
742	45800	15842
743	45857	15778
744	45913	15715
745	45983	15656
746	46076	15605
747	46146	15546
748	46202	15482
749	46261	15420
750	46322	15358
751	46383	15296
752	46443	15234
753	46504	15172
754	46563	15109
755	46621	15047
756	46676	14983
757	46743	14923
758	46808	14862
759	46884	14805
760	46950	14745
761	47019	14685
762	47121	14636
763	47176	14572
764	47256	14516
765	47338	14461
766	47408	14401
767	47472	14340
768	47528	14277
769	47586	14214
770	47649	14152
771	47707	14089
772	47763	14026
773	47822	13963
774	47880	13900
775	47935	13837
776	47999	13775
777	48055	13712
778	48111	13649
779	48172	13587
780	48229	13524
781	48291	13462
782	48362	13403
783	48430	13343
784	48490	13280
785	48555	13219
786	48621	13159
787	48690	13099
788	48762	13040
789	48821	12977
790	48886	12916
791	48950	12855
792	49007	12792
793	49064	12729
794	49125	12667
795	49185	12605
796	49261	12547
797	49349	12492
798	49440	12437
799	49521	12380
800	49583	12318
801	49647	12257
802	49727	12199
803	49787	12137
804	49848	12075
805	49920	12015
806	50011	11960
807	50064	11896
808	50116	11832
809	50168	11767
810	50220	11703
811	50304	11646
812	50362	11584
813	50415	11519
814	50465	11455
815	50548	11398
816	50601	11334
817	50652	11269
818	50703	11205
819	50780	11146
820	50832	11082
821	50882	11018
822	50935	10954
823	50986	10890
824	51070	10833
825	51125	10769
826	51186	10707
827	51302	10657
828	51437	10610
829	51517	10551
830	51599	10493
831	51700	10439
832	51780	10380
833	51841	10318
834	51909	10257
835	51968	10194
836	52032	10132
837	52092	10070
838	52154	10008
839	52221	9946
840	52293	9886
841	52373	9827
842	52433	9765
843	52496	9703
844	52586	9646
845	52646	9583
846	52709	9521
847	52770	9458
848	52903	9409
849	52963	9346
850	53040	9286
851	53101	9224
852	53166	9162
853	53233	9100
854	53296	9038
855	53367	8977
856	53433	8915
857	53495	8853
858	53556	8791
859	53621	8729
860	53683	8666
861	53752	8605
862	53818	8543
863	53901	8484
864	53993	8426
865	54055	8364
866	54124	8302
867	54192	8241
868	54262	8179
869	54324	8117
870	54393	8056
871	54465	7994
872	54532	7933
873	54593	7870
874	54661	7808
875	54722	7746
876	54781	7683
877	54839	7620
878	54901	7557
879	54958	7494
880	55014	7430
881	55075	7368
882	55132	7305
883	55192	7242
884	55247	7179
885	55303	7115
886	55371	7054
887	55434	6991
888	55496	6929
889	55558	6866
890	55625	6804
891	55683	6741
892	55737	6678
893	55794	6615
894	55857	6553
895	55923	6491
896	55983	6428
897	56042	6365
898	56099	6302
899	56178	6242
900	56253	6181
901	56313	6118
902	56386	6057
903	56474	5997
904	56551	5936
905	56607	5873
906	56672	5810
907	56730	5747
908	56785	5684
909	56843	5621
910	56924	5561
911	56979	5498
912	57038	5435
913	57095	5372
914	57147	5308
915	57208	5246
916	57266	5183
917	57324	5120
918	57381	5057
919	57443	4995
920	57509	4932
921	57578	4871
922	57637	4808
923	57694	4745
924	57748	4682
925	57808	4619
926	57861	4556
927	57915	4493
928	57980	4431
929	58034	4368
930	58098	4305
931	58153	4242
932	58210	4180
933	58269	4117
934	58332	4055
935	58388	3992
936	58467	3931
937	58544	3869
938	58609	3807
939	58666	3744
940	58726	3682
941	58801	3620
942	58864	3558
943	58918	3495
944	58972	3432
945	59026	3369
946	59089	3307
947	59147	3244
948	59209	3181
949	59266	3119
950	59336	3057
951	59393	2994
952	59450	2931
953	59507	2869
954	59564	2806
955	59623	2744
956	59677	2681
957	59734	2618
958	59793	2556
959	59851	2493
960	59908	2431
961	59964	2368
962	60017	2305
963	60071	2243
964	60132	2180
965	60201	2118
966	60257	2056
967	60314	1993
968	60367	1931
969	60437	1869
970	60495	1806
971	60551	1744
972	60611	1681
973	60673	1619
974	60762	1558
975	60828	1495
976	60891	1433
977	60959	1371
978	61023	1308
979	61088	1246
980	61157	1184
981	61221	1122
982	61280	1059
983	61358	997
984	61442	935
985	61505	873
986	61580	811
987	61644	748
988	61710	686
989	61772	623
990	61836	561
991	61899	499
992	61964	436
993	62023	374
994	62084	311
995	62182	249
996	62285	187
997	62429	125
998	62580	62
999	62683	0
